G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20230601WOHH0,0,2023,20230601,18:30,한밭,WO,HH,키움,한화,0,정상경기,정규시즌
20230601LTLG0,0,2023,20230601,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20230601SSSK0,0,2023,20230601,18:30,문학,SS,SK,삼성,SSG,0,정상경기,정규시즌
20230601OBNC0,0,2023,20230601,18:30,창원,OB,NC,두산,NC,1,우천취소,정규시즌
20230601KTHT0,0,2023,20230601,18:30,광주,KT,HT,KT,KIA,6,그라운드사정,정규시즌
20230602SSHH0,0,2023,20230602,18:30,한밭,SS,HH,삼성,한화,0,정상경기,정규시즌
20230602NCLG0,0,2023,20230602,18:30,잠실,NC,LG,NC,LG,0,정상경기,정규시즌
20230602WOSK0,0,2023,20230602,18:30,문학,WO,SK,키움,SSG,0,정상경기,정규시즌
20230602HTLT0,0,2023,20230602,18:30,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20230602OBKT0,0,2023,20230602,18:30,수원,OB,KT,두산,KT,0,정상경기,정규시즌
20230603SSHH0,0,2023,20230603,17:00,한밭,SS,HH,삼성,한화,0,정상경기,정규시즌
20230603NCLG0,0,2023,20230603,17:00,잠실,NC,LG,NC,LG,0,정상경기,정규시즌
20230603WOSK0,0,2023,20230603,17:00,문학,WO,SK,키움,SSG,0,정상경기,정규시즌
20230603HTLT0,0,2023,20230603,17:00,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20230603OBKT0,0,2023,20230603,17:00,수원,OB,KT,두산,KT,0,정상경기,정규시즌
20230604HTLT0,0,2023,20230604,14:00,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20230604SSHH0,0,2023,20230604,17:00,한밭,SS,HH,삼성,한화,0,정상경기,정규시즌
20230604NCLG0,0,2023,20230604,17:00,잠실,NC,LG,NC,LG,0,정상경기,정규시즌
20230604WOSK0,0,2023,20230604,17:00,문학,WO,SK,키움,SSG,0,정상경기,정규시즌
20230604OBKT0,0,2023,20230604,17:00,수원,OB,KT,두산,KT,0,정상경기,정규시즌
,,,20230605,,,,,,,,,
20230606HHOB0,0,2023,20230606,14:00,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20230606SKHT0,0,2023,20230606,14:00,광주,SK,HT,SSG,KIA,0,정상경기,정규시즌
20230606LGWO0,0,2023,20230606,14:00,고척,LG,WO,LG,키움,0,정상경기,정규시즌
20230606KTLT0,0,2023,20230606,17:00,사직,KT,LT,KT,롯데,0,정상경기,정규시즌
20230606NCSS0,0,2023,20230606,17:00,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20230607HHOB0,0,2023,20230607,18:30,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20230607KTLT0,0,2023,20230607,18:30,사직,KT,LT,KT,롯데,0,정상경기,정규시즌
20230607NCSS0,0,2023,20230607,18:30,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20230607SKHT0,0,2023,20230607,18:30,광주,SK,HT,SSG,KIA,0,정상경기,정규시즌
20230607LGWO0,0,2023,20230607,18:30,고척,LG,WO,LG,키움,0,정상경기,정규시즌
20230608HHOB0,0,2023,20230608,18:30,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20230608KTLT0,0,2023,20230608,18:30,사직,KT,LT,KT,롯데,0,정상경기,정규시즌
20230608NCSS0,0,2023,20230608,18:30,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20230608SKHT0,0,2023,20230608,18:30,광주,SK,HT,SSG,KIA,0,정상경기,정규시즌
20230608LGWO0,0,2023,20230608,18:30,고척,LG,WO,LG,키움,0,정상경기,정규시즌
20230609LGHH0,0,2023,20230609,18:30,한밭,LG,HH,LG,한화,0,정상경기,정규시즌
20230609HTOB0,0,2023,20230609,18:30,잠실,HT,OB,KIA,두산,0,정상경기,정규시즌
20230609LTSS0,0,2023,20230609,18:30,대구,LT,SS,롯데,삼성,0,정상경기,정규시즌
20230609SKNC0,0,2023,20230609,18:30,창원,SK,NC,SSG,NC,0,정상경기,정규시즌
20230609WOKT0,0,2023,20230609,18:30,수원,WO,KT,키움,KT,0,정상경기,정규시즌
20230610LGHH0,0,2023,20230610,17:00,한밭,LG,HH,LG,한화,0,정상경기,정규시즌
20230610HTOB0,0,2023,20230610,17:00,잠실,HT,OB,KIA,두산,0,정상경기,정규시즌
20230610LTSS0,0,2023,20230610,17:00,대구,LT,SS,롯데,삼성,0,정상경기,정규시즌
20230610SKNC0,0,2023,20230610,17:00,창원,SK,NC,SSG,NC,0,정상경기,정규시즌
20230610WOKT0,0,2023,20230610,17:00,수원,WO,KT,키움,KT,0,정상경기,정규시즌
20230611LGHH0,0,2023,20230611,17:00,한밭,LG,HH,LG,한화,0,정상경기,정규시즌
20230611HTOB0,0,2023,20230611,17:00,잠실,HT,OB,KIA,두산,0,정상경기,정규시즌
20230611LTSS0,0,2023,20230611,17:00,대구,LT,SS,롯데,삼성,0,정상경기,정규시즌
20230611SKNC0,0,2023,20230611,17:00,창원,SK,NC,SSG,NC,0,정상경기,정규시즌
