date,gameid
20130330,WOHT0
20130330,LGSK0
20130330,HHLT0
20130330,OBSS0
20130331,WOHT0
20130331,LGSK0
20130331,HHLT0
20130331,OBSS0
20130402,LGWO0
20130402,LTNC0
20130402,SKOB0
20130402,HTHH0
20130403,LGWO0
20130403,LTNC0
20130403,SKOB0
20130403,HTHH0
20130404,LGWO0
20130404,LTNC0
20130404,SKOB0
20130404,HTHH0
20130405,OBLG0
20130405,HTLT0
20130405,NCSS0
20130405,WOHH0
20130407,OBLG0
20130407,HTLT0
20130407,NCSS0
20130407,WOHH0
20130409,OBHT0
20130409,NCLG0
20130409,WOSK0
20130409,HHSS0
20130410,OBHT0
20130410,NCLG0
20130410,WOSK0
20130410,HHSS0
20130411,OBHT0
20130411,NCLG0
20130411,WOSK0
20130411,HHSS0
20130412,SKNC0
20130412,SSWO0
20130412,LTOB0
20130412,LGHH0
20130413,SKNC0
20130413,SSWO0
20130413,LTOB0
20130413,LGHH0
20130414,SKNC0
20130414,SSWO0
20130414,LTOB0
20130414,LGHH0
20130416,LGHT0
20130416,WOLT0
20130416,NCHH0
20130416,SKSS0
20130417,LGHT0
20130417,WOLT0
20130417,NCHH0
20130417,SKSS0
20130418,SKSS0
20130418,LGHT0
20130418,WOLT0
20130418,NCHH0
20130419,NCWO0
20130419,HHOB0
20130419,HTSK0
20130419,LTSS0
20130421,NCWO0
20130421,HHOB0
20130421,HTSK0
20130421,LTSS0
20130424,HTNC0
20130424,OBWO0
20130424,SSLG0
20130424,SKLT0
20130425,HTNC0
20130425,OBWO0
20130425,SSLG0
20130425,SKLT0
20130426,OBNC0
20130426,SSHT0
20130426,LTLG0
20130426,HHSK0
20130427,OBNC0
20130427,SSHT0
20130427,LTLG0
20130427,HHSK0
20130428,OBNC0
20130428,SSHT0
20130428,LTLG0
20130428,HHSK0
20130430,LGNC0
20130430,HTOB0
20130430,WOSS0
20130430,LTHH0
20130501,LGNC0
20130501,HTOB0
20130501,WOSS0
20130501,LTHH0
20130502,LGNC0
20130502,HTOB0
20130502,WOSS0
20130502,LTHH0
20130503,HTWO0
20130503,LGOB0
20130503,SSLT0
20130503,SKHH0
20130504,HTWO0
20130504,LGOB0
20130504,SSLT0
20130504,SKHH0
20130505,HTWO0
20130505,LGOB0
20130505,SSLT0
20130505,SKHH0
20130507,HHNC0
20130507,LTHT0
20130507,WOLG0
20130507,OBSK0
20130508,HHNC0
20130508,LTHT0
20130508,WOLG0
20130508,OBSK0
20130509,HHNC0
20130509,OBSK0
20130510,SKWO0
20130510,NCOB0
20130510,LGLT0
20130510,HTSS0
20130511,SKWO0
20130511,NCOB0
20130511,LGLT0
20130511,HTSS0
20130512,SKWO0
20130512,NCOB0
20130512,LGLT0
20130512,HTSS0
20130514,HHWO0
20130514,SKHT0
20130514,SSOB0
20130514,NCLT0
20130515,HHWO0
20130515,SKHT0
20130515,SSOB0
20130515,NCLT0
20130516,HHWO0
20130516,SKHT0
20130516,SSOB0
20130516,NCLT0
20130517,OBHH0
20130517,LTSK0
20130517,SSNC0
20130517,HTLG0
20130518,SSNC0
20130518,HTLG0
20130518,LTSK0
20130518,OBHH0
20130519,SSNC0
20130519,HTLG0
20130519,LTSK0
20130519,OBHH0
20130521,HHHT0
20130521,WOOB0
20130521,NCSK0
20130521,LGSS0
20130522,HHHT0
20130522,WOOB0
20130522,NCSK0
20130522,LGSS0
20130523,HHHT0
20130523,WOOB0
20130523,NCSK0
20130523,LGSS0
20130524,LTWO0
20130524,NCHT0
20130524,SKLG0
20130524,SSHH0
20130525,LTWO0
20130525,NCHT0
20130525,SKLG0
20130525,SSHH0
20130526,LTWO0
20130526,NCHT0
20130526,SKLG0
20130526,SSHH0
20130528,HHLG0
20130528,OBLT0
20130529,WONC0
20130529,HHLG0
20130529,OBLT0
20130530,WONC0
20130530,HHLG0
20130530,SSSK0
20130530,OBLT0
20130531,LGHT0
20130531,WOOB0
20130531,LTSS0
20130531,NCHH0
20130601,LGHT0
20130601,WOOB0
20130601,LTSS0
20130601,NCHH0
20130602,LGHT0
20130602,WOOB0
20130602,LTSS0
20130602,NCHH0
20130604,SKNC0
20130604,SSWO0
20130604,OBLG0
20130604,HTLT0
20130605,SKNC0
20130605,SSWO0
20130605,OBLG0
20130605,HTLT0
20130606,SKNC0
20130606,SSWO0
20130606,OBLG0
20130606,HTLT0
20130607,HTWO0
20130607,LTLG0
20130607,HHSK0
20130607,OBSS0
20130608,HTWO0
20130608,LTLG0
20130608,HHSK0
20130608,OBSS0
20130609,HTWO0
20130609,LTLG0
20130609,HHSK0
20130609,OBSS0
20130611,NCHT0
20130611,SKOB0
20130611,LGHH0
20130612,NCHT0
20130612,SKOB0
20130612,WOLT0
20130613,NCHT0
20130613,SKOB0
20130613,WOLT0
20130613,LGHH0
20130614,SSNC0
20130614,WOLG0
20130614,HHLT0
20130615,SKHT0
20130615,SSNC0
20130615,WOLG0
20130615,HHLT0
20130616,SKHT0
20130616,SSNC0
20130616,WOLG0
20130616,HHLT0
20130619,LGNC0
20130619,LTOB0
20130619,SSSK0
20130619,HTHH0
20130620,LGNC0
20130620,LTOB0
20130620,SSSK0
20130620,HTHH0
20130621,NCWO0
20130621,HHOB0
20130621,LTSK0
20130621,LGSS0
20130622,NCWO0
20130622,HHOB0
20130622,LTSK0
20130622,LGSS0
20130623,NCWO0
20130623,HHOB0
20130623,LTSK0
20130623,LGSS0
20130625,SKWO0
20130626,OBHT0
20130626,SKWO0
20130626,NCLT0
20130626,SSHH0
20130627,OBHT0
20130627,SKWO0
20130627,NCLT0
20130628,OBNC0
20130628,SKLG0
20130628,HTSS0
20130628,WOHH0
20130629,OBNC0
20130629,SKLG0
20130629,HTSS0
20130629,WOHH0
20130630,OBNC0
20130630,SKLG0
20130630,HTSS0
20130630,WOHH0
20130702,WONC0
20130702,HTSK0
20130702,SSLT0
20130703,WONC0
20130703,HHLG0
20130703,HTSK0
20130703,SSLT0
20130705,LGWO0
20130705,SSOB0
20130706,LGWO0
20130706,LTHT0
20130706,SSOB0
20130706,SKHH0
20130707,LGWO0
20130707,SSOB0
20130709,LTWO0
20130709,NCLG0
20130709,SKSS0
20130709,OBHH0
20130710,LTWO0
20130710,NCLG0
20130710,SKSS0
20130710,OBHH0
20130711,NCLG0
20130711,SKSS0
20130711,OBHH0
20130712,LTNC0
20130712,HHSS0
20130713,LTNC0
20130713,HTOB0
20130713,LGSK0
20130713,HHSS0
20130714,LTNC0
20130716,HHHT0
20130716,NCOB0
20130716,WOSK0
20130716,LGLT0
20130717,HHHT0
20130717,NCOB0
20130717,WOSK0
20130717,LGLT0
20130723,OBWO0
20130723,HTLG0
20130723,NCSS0
20130723,LTHH0
20130724,OBWO0
20130724,HTLG0
20130724,NCSS0
20130724,LTHH0
20130725,OBWO0
20130725,HTLG0
20130725,NCSS0
20130725,LTHH0
20130726,HTNC0
20130726,LGOB0
20130726,SKLT0
20130726,WOSS0
20130727,HTNC0
20130727,LGOB0
20130727,SKLT0
20130727,WOSS0
20130728,HTNC0
20130728,LGOB0
20130728,SKLT0
20130728,WOSS0
20130730,HHWO0
20130730,SSHT0
20130730,NCSK0
20130730,OBLT0
20130731,HHWO0
20130731,SSHT0
20130731,NCSK0
20130731,OBLT0
20130801,HHWO0
20130801,SSHT0
20130801,NCSK0
20130801,OBLT0
20130802,HHNC0
20130802,WOHT0
20130802,SSLG0
20130802,OBSK0
20130803,HHNC0
20130803,SSLG0
20130803,OBSK0
20130804,WOHT0
20130804,SSLG0
20130804,OBSK0
20130806,LGNC0
20130806,WOOB0
20130806,HTLT0
20130807,LGNC0
20130807,WOOB0
20130807,HTLT0
20130807,SKHH0
20130808,HTNC0
20130808,SKWO0
20130808,LTLG0
20130808,HHSS0
20130809,HTNC0
20130809,SKWO0
20130809,LTLG0
20130809,HHSS0
20130810,HHWO0
20130810,SSHT0
20130810,LGOB0
20130810,LTSK0
20130811,HHWO0
20130811,SSHT0
20130811,LGOB0
20130811,LTSK0
20130813,LTOB0
20130813,HTSK0
20130813,LGSS0
20130813,NCHH0
20130814,LTOB0
20130814,HTSK0
20130814,LGSS0
20130814,NCHH0
20130815,OBHT0
20130815,SSNC0
20130815,HHLG0
20130815,WOLT0
20130816,OBHT0
20130816,SSNC0
20130816,HHLG0
20130816,WOLT0
20130817,LGHT0
20130817,SKOB0
20130817,NCLT0
20130817,WOSS0
20130818,LGHT0
20130818,SKOB0
20130818,NCLT0
20130818,WOSS0
20130820,LGWO0
20130820,NCOB0
20130820,SKSS0
20130820,LTHH0
20130821,LGWO0
20130821,NCOB0
20130821,SKSS0
20130821,LTHH0
20130822,NCWO0
20130822,LGSK0
20130822,OBSS0
20130822,HTHH0
20130823,NCWO0
20130823,LGSK0
20130823,OBSS0
20130824,HTWO0
20130824,HHOB0
20130825,HTWO0
20130825,SKNC0
20130825,HHOB0
20130825,SSLT0
20130827,LTHT0
20130827,WOLG0
20130827,HHSK0
20130827,NCSS0
20130828,LTHT0
20130828,WOLG0
20130828,HHSK0
20130828,NCSS0
20130829,OBNC0
20130829,SSSK0
20130829,HHLT0
20130830,OBNC0
20130830,WOHT0
20130830,SSSK0
20130830,HHLT0
20130831,NCHT0
20130831,LGLT0
20130831,WOHH0
20130901,NCHT0
20130901,SSOB0
20130901,LGLT0
20130901,WOHH0
20130903,LTWO0
20130903,SKLG0
20130903,HTSS0
20130903,OBHH0
20130904,LTWO0
20130904,SKLG0
20130904,HTSS0
20130904,OBHH0
20130905,WONC0
20130905,HTOB0
20130905,SKLT0
20130905,LGHH0
20130906,HTOB0
20130906,LGHH0
20130907,HHHT0
20130907,OBWO0
20130907,SSLG0
20130907,NCSK0
20130908,HHHT0
20130908,OBWO0
20130908,SSLG0
20130908,NCSK0
20130910,LTNC0
20130910,SKHT0
20130911,LTNC0
20130911,SKHT0
20130911,SSWO0
20130912,HHNC0
20130912,HTLG0
20130912,OBSK0
20130912,LTSS0
20130913,HHNC0
20130913,HTLG0
20130913,OBSK0
20130913,LTSS0
20130914,NCLG0
20130914,WOSK0
20130914,OBLT0
20130914,SSHH0
20130915,NCLG0
20130915,WOSK0
20130915,OBLT0
20130915,SSHH0
20130916,WONC0
20130916,HTHH0
20130917,LGSK0
20130917,WOLT0
20130917,HTHH0
20130917,OBSS0
20130918,HHOB0
20130918,LGSK0
20130918,HTLT0
20130918,NCSS0
20130919,LGSK0
20130919,WOHT0
20130919,SSOB0
20130919,NCLT0
20130920,WOHT0
20130920,OBLG0
20130920,SKHH0
20130921,SSWO0
20130921,HTOB0
20130921,SKHH0
20130922,LGNC0
20130922,LTWO0
20130922,HTOB0
20130922,SKHH0
20130923,LTOB0
20130923,HHSS0
20130924,LTHT0
20130924,SSSK0
20130925,LTHT0
20130925,NCWO0
20130925,SSSK0
20130925,LGHH0
20130926,LTHT0
20130926,NCOB0
20130926,SSSK0
20130927,HHNC0
20130927,HTSK0
20130927,LTSS0
20130928,WOLG0
20130928,HTSK0
20130928,HHLT0
20130929,HHHT0
20130929,OBWO0
20130929,SSLG0
20130930,HTNC0
20130930,OBLG0
20130930,SKLT0
20130930,SSHH0
20131001,WONC0
20131001,LGLT0
20131001,SSHH0
20131002,SKHT0
20131002,WONC0
20131002,HHLG0
20131002,SSLT0
20131003,OBHT0
20131003,HHLG0
20131003,WOSK0
20131003,SSLT0
20131004,WOHT0
20131004,SKLT0
20131005,SKNC0
20131005,OBLG0
20131005,WOHH0
