date,gameid
20120407,HTSK0
20120407,HHLT0
20120407,WOOB0
20120407,LGSS0
20120408,WOOB0
20120408,HTSK0
20120408,HHLT0
20120408,LGSS0
20120411,SKWO0
20120411,SSHT0
20120411,LTLG0
20120411,OBHH0
20120412,SKWO0
20120412,SSHT0
20120412,LTLG0
20120412,OBHH0
20120413,HTLG0
20120413,HHSK0
20120413,OBLT0
20120413,WOSS0
20120414,HTLG0
20120414,HHSK0
20120414,OBLT0
20120414,WOSS0
20120415,HTLG0
20120415,HHSK0
20120415,OBLT0
20120415,WOSS0
20120417,HTWO0
20120417,SSOB0
20120417,SKLT0
20120417,LGHH0
20120418,HTWO0
20120418,SSOB0
20120418,SKLT0
20120418,LGHH0
20120419,HTWO0
20120419,SSOB0
20120419,SKLT0
20120419,LGHH0
20120420,LTHT0
20120420,OBWO0
20120420,SKLG0
20120420,SSHH0
20120422,SSHH0
20120424,HHHT0
20120424,WOLG0
20120424,OBSK0
20120424,LTSS0
20120426,HHHT0
20120426,WOLG0
20120426,OBSK0
20120426,LTSS0
20120427,HTOB0
20120427,SSSK0
20120427,LGLT0
20120427,WOHH0
20120428,HTOB0
20120428,SSSK0
20120428,LGLT0
20120428,WOHH0
20120429,HTOB0
20120429,SSSK0
20120429,LGLT0
20120429,WOHH0
20120501,LTWO0
20120501,HHLG0
20120502,LTWO0
20120502,HHLG0
20120502,OBSS0
20120503,LTWO0
20120503,SKHT0
20120503,HHLG0
20120503,OBSS0
20120504,WOHT0
20120504,OBLG0
20120504,LTSK0
20120504,HHSS0
20120505,LTSK0
20120505,WOHT0
20120505,OBLG0
20120505,HHSS0
20120506,WOHT0
20120506,OBLG0
20120506,LTSK0
20120506,HHSS0
20120508,LGWO0
20120508,SKOB0
20120508,SSLT0
20120508,HTHH0
20120509,LGWO0
20120509,SKOB0
20120509,SSLT0
20120509,HTHH0
20120510,LGWO0
20120510,SKOB0
20120510,SSLT0
20120510,HTHH0
20120511,OBHT0
20120511,SSLG0
20120511,WOSK0
20120511,LTHH0
20120512,OBHT0
20120512,SSLG0
20120512,WOSK0
20120512,LTHH0
20120513,OBHT0
20120513,SSLG0
20120513,WOSK0
20120513,LTHH0
20120515,HHOB0
20120515,LGSK0
20120515,WOLT0
20120515,HTSS0
20120516,HHOB0
20120516,LGSK0
20120516,WOLT0
20120516,HTSS0
20120517,LGSK0
20120517,HHOB0
20120517,WOLT0
20120517,HTSS0
20120518,SSWO0
20120518,LGOB0
20120518,HTLT0
20120518,SKHH0
20120519,SSWO0
20120519,LGOB0
20120519,HTLT0
20120519,SKHH0
20120520,SSWO0
20120520,LGOB0
20120520,HTLT0
20120520,SKHH0
20120522,HHHT0
