date,gameid
20200901,HHOB0
20200901,LGSK0
20200901,LTKT0
20200901,SSHT0
20200901,NCWO0
20200902,NCWO0
20200903,NCLG0
20200903,HTLT0
20200903,OBSS0
20200903,SKKT0
20200903,WOHH0
20200904,HTLT1
20200904,SKKT2
20200904,HTLT1
20200904,SKKT2
20200904,NCLG0
20200904,OBSS0
20200904,WOHH0
20200905,SKOB0
20200905,KTWO0
20200905,HTHH0
20200906,SKOB0
20200906,LGLT0
20200906,KTWO0
20200906,HTHH0
20200906,NCSS1
20200907,LGLT0
20200908,KTOB0
20200908,WOSK0
20200908,HHSS0
20200908,LTNC0
20200908,LGHT0
20200909,HHSS1
20200909,HHSS2
20200909,KTOB0
20200909,WOSK0
20200909,LTNC0
20200910,WOLG0
20200910,SSLT0
20200910,KTNC0
20200910,OBHT0
20200910,SKHH0
20200911,WOLG0
20200911,SSLT0
20200911,KTNC0
20200911,SKHH0
20200912,SSLG0
20200912,LTSK0
20200912,HTNC0
20200912,HHKT0
20200912,OBWO0
20200913,SSLG0
20200913,LTSK0
20200913,HTNC0
20200913,HHKT0
20200913,OBWO0
20200915,NCOB0
20200915,SSKT0
20200915,SKHT0
20200915,LTWO0
20200915,LGHH0
20200916,NCOB0
20200916,SSKT0
20200916,SKHT0
20200916,LTWO0
20200916,LGHH0
