date,gameid
20110402,SSHT0
20110402,LGOB0
20110402,WOSK0
20110402,HHLT0
20110403,SSHT0
20110403,LGOB0
20110403,WOSK0
20110403,HHLT0
20110405,OBWO0
20110405,SKLG0
20110405,LTSS0
20110405,HTHH0
20110406,OBWO0
20110406,SKLG0
20110406,LTSS0
20110406,HTHH0
20110408,LTWO0
20110408,HTOB0
20110408,SSSK0
20110408,LGHH0
20110409,LTWO0
20110409,HTOB0
20110409,SSSK0
20110409,LGHH0
20110410,LTWO0
20110410,HTOB0
20110410,SSSK0
20110410,LGHH0
20110412,WOHT0
20110412,SSLG0
20110412,HHSK0
20110412,OBLT0
20110413,WOHT0
20110413,SSLG0
20110413,HHSK0
20110413,OBLT0
20110414,WOHT0
20110414,SSLG0
20110414,HHSK0
20110414,OBLT0
20110415,HHHT0
20110415,SKWO0
20110415,LTLG0
20110415,OBSS0
20110416,HHHT0
20110416,SKWO0
20110416,LTLG0
20110416,OBSS0
20110417,HHHT0
20110417,SKWO0
20110417,LTLG0
20110417,OBSS0
20110419,WOOB0
20110419,LGSK0
20110419,HTSS0
20110419,LTHH0
20110420,WOOB0
20110420,LGSK0
20110420,HTSS0
20110420,LTHH0
20110421,LGSK0
20110421,WOOB0
20110421,HTSS0
20110421,LTHH0
20110422,SSWO0
20110422,HTLG0
20110423,SSWO0
20110423,HTLG0
20110423,SKLT0
20110423,OBHH0
20110424,SSWO0
20110424,HTLG0
20110424,SKLT0
20110424,OBHH0
20110426,HHWO0
20110426,LGLT0
20110427,HHWO0
20110427,SKHT0
20110427,SSOB0
20110427,LGLT0
20110428,HHWO0
20110428,SKHT0
20110428,SSOB0
20110428,LGLT0
20110429,LTHT0
20110429,WOLG0
20110429,OBSK0
20110429,HHSS0
20110430,LTHT0
20110430,HHSS0
20110501,LTHT0
20110501,WOLG0
20110501,OBSK0
20110501,HHSS0
20110503,HTWO0
20110503,LGOB0
20110503,SSLT0
20110503,SKHH0
20110504,HTWO0
20110504,LGOB0
20110504,SSLT0
20110504,SKHH0
20110505,HTWO0
20110505,SSLT0
20110505,SKHH0
20110505,LGOB0
20110506,LTOB0
20110506,HTSK0
20110506,LGSS0
20110506,WOHH0
20110507,LTOB0
20110507,HTSK0
20110507,LGSS0
20110507,WOHH0
20110508,LTOB0
20110508,HTSK0
20110508,LGSS0
20110508,WOHH0
20110510,OBHT0
20110510,SKSS0
20110510,HHLG0
20110510,WOLT0
20110511,HHLG0
20110512,OBHT0
20110512,HHLG0
20110512,WOLT0
20110512,SKSS0
20110513,LGWO0
20110513,SKOB0
20110513,HTLT0
20110513,SSHH0
20110514,SKOB0
20110514,HTLT0
20110514,SSHH0
20110514,LGWO0
20110515,SKOB0
20110515,HTLT0
20110515,SSHH0
20110515,LGWO0
20110517,LGHT0
20110517,HHOB0
20110517,LTSK0
20110517,WOSS0
20110518,LGHT0
20110518,HHOB0
20110518,LTSK0
20110518,WOSS0
20110519,LGHT0
20110519,HHOB0
20110519,LTSK0
20110519,WOSS0
20110520,HHHT0
20110520,OBSS0
20110521,HHHT0
20110521,LTLG0
20110521,OBSS0
20110522,HHHT0
20110522,LTLG0
20110522,WOSK0
20110522,OBSS0
20110524,HTWO0
20110524,OBLG0
20110524,SSLT0
20110524,SKHH0
20110525,HTWO0
20110525,OBLG0
20110525,SSLT0
20110525,SKHH0
20110526,HTWO0
20110526,OBLG0
20110526,SKHH0
20110527,LGWO0
20110527,LTHT0
20110527,HHOB0
20110527,SKSS0
20110528,LTHT0
20110528,HHOB0
20110528,SKSS0
20110528,LGWO0
20110529,LTHT0
20110529,HHOB0
20110529,SKSS0
20110529,LGWO0
20110531,HTLG0
20110531,OBSK0
20110531,WOLT0
20110531,SSHH0
20110601,HTLG0
20110601,OBSK0
20110601,WOLT0
20110601,SSHH0
20110602,HTLG0
20110602,OBSK0
20110602,WOLT0
20110602,SSHH0
20110603,SSOB0
20110603,HTSK0
20110603,LGLT0
20110603,WOHH0
20110604,LGLT0
20110604,SSOB0
20110604,HTSK0
20110604,WOHH0
20110605,SSOB0
20110605,HTSK0
20110605,LGLT0
20110605,WOHH0
20110607,OBHT0
20110607,SKWO0
20110607,HHLG0
20110607,LTSS0
20110608,OBHT0
20110608,SKWO0
20110608,HHLG0
20110608,LTSS0
20110609,OBHT0
20110609,SKWO0
20110609,HHLG0
20110609,LTSS0
20110610,LGHT0
20110610,SSWO0
20110610,SKOB0
20110610,HHLT0
20110611,LGHT0
20110611,SSWO0
20110611,SKOB0
20110611,HHLT0
20110612,LGHT0
20110612,SSWO0
20110612,SKOB0
20110612,HHLT0
20110614,WOOB0
20110614,LTSK0
20110614,LGSS0
20110614,HTHH0
20110615,WOOB0
20110615,LTSK0
20110615,LGSS0
20110615,HTHH0
20110616,WOOB0
20110616,LTSK0
20110616,LGSS0
20110616,HTHH0
20110617,LTWO0
20110617,SSHT0
20110617,SKLG0
20110617,OBHH0
20110618,LTWO0
20110618,SSHT0
20110618,SKLG0
20110618,OBHH0
20110619,LTWO0
